,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,LR_pair,#ID Interactor A,ID Interactor B,Alt IDs Interactor A,Alt IDs Interactor B,Aliases Interactor A,Aliases Interactor B,Interaction Detection Method,Publication 1st Author,Publication Identifiers,Taxid Interactor A,Taxid Interactor B,Interaction Types,Source Database,Interaction Identifiers,Confidence Values
19,IL1A_IL1R2,IL1,IL1A,IL1R2,,,,,KEGG: hsa04060,Secreted Signaling,IL1A - IL1R2,IL1A:IL1R2,entrez gene/locuslink:3552,entrez gene/locuslink:7850,biogrid:109768|entrez gene/locuslink:IL1A|uniprot/swiss-prot:P01583|refseq:NP_000566,biogrid:113605|entrez gene/locuslink:IL1R2|uniprot/swiss-prot:P27930|refseq:NP_001248348|refseq:NP_004624,entrez gene/locuslink:IL-1A(gene name synonym)|entrez gene/locuslink:IL1(gene name synonym)|entrez gene/locuslink:IL1-ALPHA(gene name synonym)|entrez gene/locuslink:IL1F1(gene name synonym),entrez gene/locuslink:CD121b(gene name synonym)|entrez gene/locuslink:CDw121b(gene name synonym)|entrez gene/locuslink:IL-1R-2(gene name synonym)|entrez gene/locuslink:IL-1RT-2(gene name synonym)|entrez gene/locuslink:IL-1RT2(gene name synonym)|entrez gene/locuslink:IL1R2c(gene name synonym)|entrez gene/locuslink:IL1RB(gene name synonym),"psi-mi:""MI:0428""(imaging technique)",Chen TC (2014),pubmed:25241761,taxid:9606,taxid:9606,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0463""(biogrid)",biogrid:1504782,-
20,PDGFA_PDGFRA,PDGF,PDGFA,PDGFRA,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling,PDGFA - PDGFRA,PDGFA:PDGFRA,entrez gene/locuslink:5154,entrez gene/locuslink:5156,biogrid:111180|entrez gene/locuslink:PDGFA|uniprot/swiss-prot:P04085|refseq:NP_002598|refseq:NP_148983,biogrid:111182|entrez gene/locuslink:PDGFRA|uniprot/swiss-prot:P16234|refseq:NP_006197,entrez gene/locuslink:PDGF-A(gene name synonym)|entrez gene/locuslink:PDGF1(gene name synonym),entrez gene/locuslink:CD140A(gene name synonym)|entrez gene/locuslink:PDGFR-2(gene name synonym)|entrez gene/locuslink:PDGFR2(gene name synonym)|entrez gene/locuslink:RHEPDGFRA(gene name synonym),"psi-mi:""MI:0428""(imaging technique)",Chen TC (2014),pubmed:25241761,taxid:9606,taxid:9606,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0463""(biogrid)",biogrid:1504896,-
21,WNT5A_FZD5,ncWNT,WNT5A,FZD5,,,ncWNT activation receptor,,KEGG: hsa04310,Secreted Signaling,WNT5A - FZD5,WNT5A:FZD5,entrez gene/locuslink:7474,entrez gene/locuslink:7855,biogrid:113311|entrez gene/locuslink:WNT5A|uniprot/swiss-prot:P41221|refseq:NP_001243034|refseq:NP_003383,biogrid:113609|entrez gene/locuslink:FZD5|uniprot/swiss-prot:Q13467|refseq:NP_003459,entrez gene/locuslink:hWNT5A(gene name synonym),entrez gene/locuslink:C2orf31(gene name synonym)|entrez gene/locuslink:HFZ5(gene name synonym),"psi-mi:""MI:0428""(imaging technique)",Chen TC (2014),pubmed:25241761,taxid:9606,taxid:9606,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0463""(biogrid)",biogrid:1505056,-
22,IL33_IL1RL1_IL1RAP,IL1,IL33,IL1RL1_IL1RAP,,,,,KEGG: hsa04060,Secreted Signaling,IL33 - (IL1RL1+IL1RAP),IL33:IL1RL1_IL1RAP,entrez gene/locuslink:90865,entrez gene/locuslink:9173,biogrid:124776|entrez gene/locuslink:IL33|entrez gene/locuslink:RP11-575C20.2|uniprot/swiss-prot:O95760|refseq:NP_254274|refseq:NP_001186569|refseq:NP_001186570,biogrid:114613|entrez gene/locuslink:IL1RL1|uniprot/swiss-prot:Q01638|refseq:NP_001269337|refseq:NP_057316|refseq:NP_003847,entrez gene/locuslink:C9orf26(gene name synonym)|entrez gene/locuslink:DVS27(gene name synonym)|entrez gene/locuslink:IL1F11(gene name synonym)|entrez gene/locuslink:NF-HEV(gene name synonym)|entrez gene/locuslink:NFEHEV(gene name synonym),entrez gene/locuslink:DER4(gene name synonym)|entrez gene/locuslink:FIT-1(gene name synonym)|entrez gene/locuslink:IL33R(gene name synonym)|entrez gene/locuslink:ST2(gene name synonym)|entrez gene/locuslink:ST2L(gene name synonym)|entrez gene/locuslink:ST2V(gene name synonym)|entrez gene/locuslink:T1(gene name synonym),"psi-mi:""MI:0096""(pull down)",Luethi AU (2009),pubmed:19559631,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1526182,-
23,FGF3_FGFR1,FGF,FGF3,FGFR1,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF3 - FGFR1,FGF3:FGFR1,entrez gene/locuslink:2260,entrez gene/locuslink:2248,biogrid:108551|entrez gene/locuslink:FGFR1|uniprot/swiss-prot:P11362|refseq:NP_075598|refseq:NP_075593|refseq:NP_075594|refseq:NP_001167538|refseq:NP_056934|refseq:NP_001167536|refseq:NP_001167537|refseq:NP_001167534|refseq:NP_001167535,biogrid:108539|entrez gene/locuslink:FGF3|uniprot/swiss-prot:P11487|refseq:NP_005238,entrez gene/locuslink:BFGFR(gene name synonym)|entrez gene/locuslink:CD331(gene name synonym)|entrez gene/locuslink:CEK(gene name synonym)|entrez gene/locuslink:FGFBR(gene name synonym)|entrez gene/locuslink:FGFR-1(gene name synonym)|entrez gene/locuslink:FLG(gene name synonym)|entrez gene/locuslink:FLT-2(gene name synonym)|entrez gene/locuslink:FLT2(gene name synonym)|entrez gene/locuslink:HBGFR(gene name synonym)|entrez gene/locuslink:HH2(gene name synonym)|entrez gene/locuslink:HRTFDS(gene name synonym)|entrez gene/locuslink:KAL2(gene name synonym)|entrez gene/locuslink:N-SAM(gene name synonym)|entrez gene/locuslink:OGD(gene name synonym)|entrez gene/locuslink:bFGF-R-1(gene name synonym),entrez gene/locuslink:HBGF-3(gene name synonym)|entrez gene/locuslink:INT2(gene name synonym),"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528499,-
24,FGF5_FGFR1,FGF,FGF5,FGFR1,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF5 - FGFR1,FGF5:FGFR1,entrez gene/locuslink:2260,entrez gene/locuslink:2250,biogrid:108551|entrez gene/locuslink:FGFR1|uniprot/swiss-prot:P11362|refseq:NP_075598|refseq:NP_075593|refseq:NP_075594|refseq:NP_001167538|refseq:NP_056934|refseq:NP_001167536|refseq:NP_001167537|refseq:NP_001167534|refseq:NP_001167535,biogrid:108541|entrez gene/locuslink:FGF5|uniprot/swiss-prot:P12034|refseq:NP_149134|refseq:NP_001278741|refseq:NP_004455,entrez gene/locuslink:BFGFR(gene name synonym)|entrez gene/locuslink:CD331(gene name synonym)|entrez gene/locuslink:CEK(gene name synonym)|entrez gene/locuslink:FGFBR(gene name synonym)|entrez gene/locuslink:FGFR-1(gene name synonym)|entrez gene/locuslink:FLG(gene name synonym)|entrez gene/locuslink:FLT-2(gene name synonym)|entrez gene/locuslink:FLT2(gene name synonym)|entrez gene/locuslink:HBGFR(gene name synonym)|entrez gene/locuslink:HH2(gene name synonym)|entrez gene/locuslink:HRTFDS(gene name synonym)|entrez gene/locuslink:KAL2(gene name synonym)|entrez gene/locuslink:N-SAM(gene name synonym)|entrez gene/locuslink:OGD(gene name synonym)|entrez gene/locuslink:bFGF-R-1(gene name synonym),entrez gene/locuslink:HBGF-5(gene name synonym)|entrez gene/locuslink:Smag-82(gene name synonym)|entrez gene/locuslink:TCMGLY(gene name synonym),"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528500,-
25,FGF6_FGFR1,FGF,FGF6,FGFR1,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF6 - FGFR1,FGF6:FGFR1,entrez gene/locuslink:2260,entrez gene/locuslink:2251,biogrid:108551|entrez gene/locuslink:FGFR1|uniprot/swiss-prot:P11362|refseq:NP_075598|refseq:NP_075593|refseq:NP_075594|refseq:NP_001167538|refseq:NP_056934|refseq:NP_001167536|refseq:NP_001167537|refseq:NP_001167534|refseq:NP_001167535,biogrid:108542|entrez gene/locuslink:FGF6|uniprot/swiss-prot:P10767|refseq:NP_066276,entrez gene/locuslink:BFGFR(gene name synonym)|entrez gene/locuslink:CD331(gene name synonym)|entrez gene/locuslink:CEK(gene name synonym)|entrez gene/locuslink:FGFBR(gene name synonym)|entrez gene/locuslink:FGFR-1(gene name synonym)|entrez gene/locuslink:FLG(gene name synonym)|entrez gene/locuslink:FLT-2(gene name synonym)|entrez gene/locuslink:FLT2(gene name synonym)|entrez gene/locuslink:HBGFR(gene name synonym)|entrez gene/locuslink:HH2(gene name synonym)|entrez gene/locuslink:HRTFDS(gene name synonym)|entrez gene/locuslink:KAL2(gene name synonym)|entrez gene/locuslink:N-SAM(gene name synonym)|entrez gene/locuslink:OGD(gene name synonym)|entrez gene/locuslink:bFGF-R-1(gene name synonym),entrez gene/locuslink:HBGF-6(gene name synonym)|entrez gene/locuslink:HST2(gene name synonym),"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528501,-
26,FGF9_FGFR1,FGF,FGF9,FGFR1,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF9 - FGFR1,FGF9:FGFR1,entrez gene/locuslink:2260,entrez gene/locuslink:2254,biogrid:108551|entrez gene/locuslink:FGFR1|uniprot/swiss-prot:P11362|refseq:NP_075598|refseq:NP_075593|refseq:NP_075594|refseq:NP_001167538|refseq:NP_056934|refseq:NP_001167536|refseq:NP_001167537|refseq:NP_001167534|refseq:NP_001167535,biogrid:108545|entrez gene/locuslink:FGF9|uniprot/swiss-prot:P31371|refseq:NP_002001,entrez gene/locuslink:BFGFR(gene name synonym)|entrez gene/locuslink:CD331(gene name synonym)|entrez gene/locuslink:CEK(gene name synonym)|entrez gene/locuslink:FGFBR(gene name synonym)|entrez gene/locuslink:FGFR-1(gene name synonym)|entrez gene/locuslink:FLG(gene name synonym)|entrez gene/locuslink:FLT-2(gene name synonym)|entrez gene/locuslink:FLT2(gene name synonym)|entrez gene/locuslink:HBGFR(gene name synonym)|entrez gene/locuslink:HH2(gene name synonym)|entrez gene/locuslink:HRTFDS(gene name synonym)|entrez gene/locuslink:KAL2(gene name synonym)|entrez gene/locuslink:N-SAM(gene name synonym)|entrez gene/locuslink:OGD(gene name synonym)|entrez gene/locuslink:bFGF-R-1(gene name synonym),entrez gene/locuslink:FGF-9(gene name synonym)|entrez gene/locuslink:GAF(gene name synonym)|entrez gene/locuslink:HBFG-9(gene name synonym)|entrez gene/locuslink:HBGF-9(gene name synonym)|entrez gene/locuslink:SYNS3(gene name synonym),"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528503,-
27,FGF10_FGFR1,FGF,FGF10,FGFR1,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF10 - FGFR1,FGF10:FGFR1,entrez gene/locuslink:2260,entrez gene/locuslink:2255,biogrid:108551|entrez gene/locuslink:FGFR1|uniprot/swiss-prot:P11362|refseq:NP_075598|refseq:NP_075593|refseq:NP_075594|refseq:NP_001167538|refseq:NP_056934|refseq:NP_001167536|refseq:NP_001167537|refseq:NP_001167534|refseq:NP_001167535,biogrid:108546|entrez gene/locuslink:FGF10|uniprot/swiss-prot:O15520|refseq:NP_004456,entrez gene/locuslink:BFGFR(gene name synonym)|entrez gene/locuslink:CD331(gene name synonym)|entrez gene/locuslink:CEK(gene name synonym)|entrez gene/locuslink:FGFBR(gene name synonym)|entrez gene/locuslink:FGFR-1(gene name synonym)|entrez gene/locuslink:FLG(gene name synonym)|entrez gene/locuslink:FLT-2(gene name synonym)|entrez gene/locuslink:FLT2(gene name synonym)|entrez gene/locuslink:HBGFR(gene name synonym)|entrez gene/locuslink:HH2(gene name synonym)|entrez gene/locuslink:HRTFDS(gene name synonym)|entrez gene/locuslink:KAL2(gene name synonym)|entrez gene/locuslink:N-SAM(gene name synonym)|entrez gene/locuslink:OGD(gene name synonym)|entrez gene/locuslink:bFGF-R-1(gene name synonym),-,"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528504,-
28,FGF17_FGFR1,FGF,FGF17,FGFR1,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF17 - FGFR1,FGF17:FGFR1,entrez gene/locuslink:2260,entrez gene/locuslink:8822,biogrid:108551|entrez gene/locuslink:FGFR1|uniprot/swiss-prot:P11362|refseq:NP_075598|refseq:NP_075593|refseq:NP_075594|refseq:NP_001167538|refseq:NP_056934|refseq:NP_001167536|refseq:NP_001167537|refseq:NP_001167534|refseq:NP_001167535,biogrid:114349|entrez gene/locuslink:FGF17|entrez gene/locuslink:UNQ161/PRO187|uniprot/swiss-prot:O60258|refseq:NP_003858,entrez gene/locuslink:BFGFR(gene name synonym)|entrez gene/locuslink:CD331(gene name synonym)|entrez gene/locuslink:CEK(gene name synonym)|entrez gene/locuslink:FGFBR(gene name synonym)|entrez gene/locuslink:FGFR-1(gene name synonym)|entrez gene/locuslink:FLG(gene name synonym)|entrez gene/locuslink:FLT-2(gene name synonym)|entrez gene/locuslink:FLT2(gene name synonym)|entrez gene/locuslink:HBGFR(gene name synonym)|entrez gene/locuslink:HH2(gene name synonym)|entrez gene/locuslink:HRTFDS(gene name synonym)|entrez gene/locuslink:KAL2(gene name synonym)|entrez gene/locuslink:N-SAM(gene name synonym)|entrez gene/locuslink:OGD(gene name synonym)|entrez gene/locuslink:bFGF-R-1(gene name synonym),entrez gene/locuslink:FGF-13(gene name synonym)|entrez gene/locuslink:HH20(gene name synonym),"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528505,-
29,FGF2_FGFR2,FGF,FGF2,FGFR2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF2 - FGFR2,FGF2:FGFR2,entrez gene/locuslink:2263,entrez gene/locuslink:2247,biogrid:108554|entrez gene/locuslink:FGFR2|uniprot/swiss-prot:P21802|refseq:NP_000132|refseq:NP_075259|refseq:NP_075418|refseq:NP_001138389|refseq:NP_001138388|refseq:NP_001138390|refseq:NP_001138386|refseq:NP_001138385|refseq:NP_001138387|refseq:NP_001138391,biogrid:108538|entrez gene/locuslink:FGF2|uniprot/swiss-prot:P09038|refseq:NP_001997,entrez gene/locuslink:BBDS(gene name synonym)|entrez gene/locuslink:BEK(gene name synonym)|entrez gene/locuslink:BFR-1(gene name synonym)|entrez gene/locuslink:CD332(gene name synonym)|entrez gene/locuslink:CEK3(gene name synonym)|entrez gene/locuslink:CFD1(gene name synonym)|entrez gene/locuslink:ECT1(gene name synonym)|entrez gene/locuslink:JWS(gene name synonym)|entrez gene/locuslink:K-SAM(gene name synonym)|entrez gene/locuslink:KGFR(gene name synonym)|entrez gene/locuslink:TK14(gene name synonym)|entrez gene/locuslink:TK25(gene name synonym),entrez gene/locuslink:BFGF(gene name synonym)|entrez gene/locuslink:FGF-2(gene name synonym)|entrez gene/locuslink:FGFB(gene name synonym)|entrez gene/locuslink:HBGF-2(gene name synonym),"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528507,-
30,FGF3_FGFR2,FGF,FGF3,FGFR2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF3 - FGFR2,FGF3:FGFR2,entrez gene/locuslink:2263,entrez gene/locuslink:2248,biogrid:108554|entrez gene/locuslink:FGFR2|uniprot/swiss-prot:P21802|refseq:NP_000132|refseq:NP_075259|refseq:NP_075418|refseq:NP_001138389|refseq:NP_001138388|refseq:NP_001138390|refseq:NP_001138386|refseq:NP_001138385|refseq:NP_001138387|refseq:NP_001138391,biogrid:108539|entrez gene/locuslink:FGF3|uniprot/swiss-prot:P11487|refseq:NP_005238,entrez gene/locuslink:BBDS(gene name synonym)|entrez gene/locuslink:BEK(gene name synonym)|entrez gene/locuslink:BFR-1(gene name synonym)|entrez gene/locuslink:CD332(gene name synonym)|entrez gene/locuslink:CEK3(gene name synonym)|entrez gene/locuslink:CFD1(gene name synonym)|entrez gene/locuslink:ECT1(gene name synonym)|entrez gene/locuslink:JWS(gene name synonym)|entrez gene/locuslink:K-SAM(gene name synonym)|entrez gene/locuslink:KGFR(gene name synonym)|entrez gene/locuslink:TK14(gene name synonym)|entrez gene/locuslink:TK25(gene name synonym),entrez gene/locuslink:HBGF-3(gene name synonym)|entrez gene/locuslink:INT2(gene name synonym),"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528508,-
31,FGF6_FGFR2,FGF,FGF6,FGFR2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF6 - FGFR2,FGF6:FGFR2,entrez gene/locuslink:2263,entrez gene/locuslink:2251,biogrid:108554|entrez gene/locuslink:FGFR2|uniprot/swiss-prot:P21802|refseq:NP_000132|refseq:NP_075259|refseq:NP_075418|refseq:NP_001138389|refseq:NP_001138388|refseq:NP_001138390|refseq:NP_001138386|refseq:NP_001138385|refseq:NP_001138387|refseq:NP_001138391,biogrid:108542|entrez gene/locuslink:FGF6|uniprot/swiss-prot:P10767|refseq:NP_066276,entrez gene/locuslink:BBDS(gene name synonym)|entrez gene/locuslink:BEK(gene name synonym)|entrez gene/locuslink:BFR-1(gene name synonym)|entrez gene/locuslink:CD332(gene name synonym)|entrez gene/locuslink:CEK3(gene name synonym)|entrez gene/locuslink:CFD1(gene name synonym)|entrez gene/locuslink:ECT1(gene name synonym)|entrez gene/locuslink:JWS(gene name synonym)|entrez gene/locuslink:K-SAM(gene name synonym)|entrez gene/locuslink:KGFR(gene name synonym)|entrez gene/locuslink:TK14(gene name synonym)|entrez gene/locuslink:TK25(gene name synonym),entrez gene/locuslink:HBGF-6(gene name synonym)|entrez gene/locuslink:HST2(gene name synonym),"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528510,-
32,FGF9_FGFR2,FGF,FGF9,FGFR2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF9 - FGFR2,FGF9:FGFR2,entrez gene/locuslink:2263,entrez gene/locuslink:2254,biogrid:108554|entrez gene/locuslink:FGFR2|uniprot/swiss-prot:P21802|refseq:NP_000132|refseq:NP_075259|refseq:NP_075418|refseq:NP_001138389|refseq:NP_001138388|refseq:NP_001138390|refseq:NP_001138386|refseq:NP_001138385|refseq:NP_001138387|refseq:NP_001138391,biogrid:108545|entrez gene/locuslink:FGF9|uniprot/swiss-prot:P31371|refseq:NP_002001,entrez gene/locuslink:BBDS(gene name synonym)|entrez gene/locuslink:BEK(gene name synonym)|entrez gene/locuslink:BFR-1(gene name synonym)|entrez gene/locuslink:CD332(gene name synonym)|entrez gene/locuslink:CEK3(gene name synonym)|entrez gene/locuslink:CFD1(gene name synonym)|entrez gene/locuslink:ECT1(gene name synonym)|entrez gene/locuslink:JWS(gene name synonym)|entrez gene/locuslink:K-SAM(gene name synonym)|entrez gene/locuslink:KGFR(gene name synonym)|entrez gene/locuslink:TK14(gene name synonym)|entrez gene/locuslink:TK25(gene name synonym),entrez gene/locuslink:FGF-9(gene name synonym)|entrez gene/locuslink:GAF(gene name synonym)|entrez gene/locuslink:HBFG-9(gene name synonym)|entrez gene/locuslink:HBGF-9(gene name synonym)|entrez gene/locuslink:SYNS3(gene name synonym),"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528512,-
33,FGF17_FGFR2,FGF,FGF17,FGFR2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF17 - FGFR2,FGF17:FGFR2,entrez gene/locuslink:2263,entrez gene/locuslink:8822,biogrid:108554|entrez gene/locuslink:FGFR2|uniprot/swiss-prot:P21802|refseq:NP_000132|refseq:NP_075259|refseq:NP_075418|refseq:NP_001138389|refseq:NP_001138388|refseq:NP_001138390|refseq:NP_001138386|refseq:NP_001138385|refseq:NP_001138387|refseq:NP_001138391,biogrid:114349|entrez gene/locuslink:FGF17|entrez gene/locuslink:UNQ161/PRO187|uniprot/swiss-prot:O60258|refseq:NP_003858,entrez gene/locuslink:BBDS(gene name synonym)|entrez gene/locuslink:BEK(gene name synonym)|entrez gene/locuslink:BFR-1(gene name synonym)|entrez gene/locuslink:CD332(gene name synonym)|entrez gene/locuslink:CEK3(gene name synonym)|entrez gene/locuslink:CFD1(gene name synonym)|entrez gene/locuslink:ECT1(gene name synonym)|entrez gene/locuslink:JWS(gene name synonym)|entrez gene/locuslink:K-SAM(gene name synonym)|entrez gene/locuslink:KGFR(gene name synonym)|entrez gene/locuslink:TK14(gene name synonym)|entrez gene/locuslink:TK25(gene name synonym),entrez gene/locuslink:FGF-13(gene name synonym)|entrez gene/locuslink:HH20(gene name synonym),"psi-mi:""MI:0686""(unspecified method)",Li S (2008),pubmed:18199118,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1528514,-
34,ANGPT2_TEK,ANGPT,ANGPT2,TEK,,,,ANGPT inhibition receptor 1,PMID: 20651738,Secreted Signaling,ANGPT2 - TEK,ANGPT2:TEK,entrez gene/locuslink:285,entrez gene/locuslink:7010,biogrid:106782|entrez gene/locuslink:ANGPT2|uniprot/swiss-prot:O15123|refseq:NP_001138|refseq:NP_001112360|refseq:NP_001112359,biogrid:112869|entrez gene/locuslink:TEK|uniprot/swiss-prot:Q02763|refseq:NP_001277006|refseq:NP_001277007|refseq:NP_000450,entrez gene/locuslink:AGPT2(gene name synonym)|entrez gene/locuslink:ANG2(gene name synonym),entrez gene/locuslink:CD202B(gene name synonym)|entrez gene/locuslink:TIE-2(gene name synonym)|entrez gene/locuslink:TIE2(gene name synonym)|entrez gene/locuslink:VMCM(gene name synonym)|entrez gene/locuslink:VMCM1(gene name synonym),"psi-mi:""MI:0096""(pull down)",Lee HS (2014),pubmed:25237190,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:2197464,-
35,ANGPT2_ITGA5_ITGB1,ANGPT,ANGPT2,ITGA5_ITGB1,,,,ANGPT inhibition receptor 2,PMID: 20651738; PMID: 25635707,Secreted Signaling,ANGPT2 - (ITGA5+ITGB1),ANGPT2:ITGA5_ITGB1,entrez gene/locuslink:285,entrez gene/locuslink:3678,biogrid:106782|entrez gene/locuslink:ANGPT2|uniprot/swiss-prot:O15123|refseq:NP_001138|refseq:NP_001112360|refseq:NP_001112359,biogrid:109884|entrez gene/locuslink:ITGA5|uniprot/swiss-prot:P08648|refseq:NP_002196,entrez gene/locuslink:AGPT2(gene name synonym)|entrez gene/locuslink:ANG2(gene name synonym),entrez gene/locuslink:CD49e(gene name synonym)|entrez gene/locuslink:FNRA(gene name synonym)|entrez gene/locuslink:VLA5A(gene name synonym),"psi-mi:""MI:0096""(pull down)",Lee HS (2014),pubmed:25237190,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:2197466,-
36,FGF1_FGFR3,FGF,FGF1,FGFR3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF1 - FGFR3,FGF1:FGFR3,entrez gene/locuslink:2246,entrez gene/locuslink:2261,biogrid:108537|entrez gene/locuslink:FGF1|uniprot/swiss-prot:P05230|refseq:NP_001341884|refseq:NP_001341885|refseq:NP_001341886|refseq:NP_149128|refseq:NP_001341880|refseq:NP_001341881|refseq:NP_001341882|refseq:NP_001341883|refseq:NP_149127|refseq:NP_001341887|refseq:NP_001244141|refseq:NP_001244140|refseq:NP_001138364|refseq:NP_001138406|refseq:NP_001138407|refseq:NP_001244134|refseq:NP_001244135|refseq:NP_001244136|refseq:NP_001244137|refseq:NP_001244138|refseq:NP_001244139|refseq:NP_000791,biogrid:108552|entrez gene/locuslink:FGFR3|uniprot/swiss-prot:P22607|refseq:NP_000133|refseq:NP_075254|refseq:NP_001156685,entrez gene/locuslink:AFGF(gene name synonym)|entrez gene/locuslink:ECGF(gene name synonym)|entrez gene/locuslink:ECGF-beta(gene name synonym)|entrez gene/locuslink:ECGFA(gene name synonym)|entrez gene/locuslink:ECGFB(gene name synonym)|entrez gene/locuslink:FGF-1(gene name synonym)|entrez gene/locuslink:FGF-alpha(gene name synonym)|entrez gene/locuslink:FGFA(gene name synonym)|entrez gene/locuslink:GLIO703(gene name synonym)|entrez gene/locuslink:HBGF-1(gene name synonym)|entrez gene/locuslink:HBGF1(gene name synonym),entrez gene/locuslink:ACH(gene name synonym)|entrez gene/locuslink:CD333(gene name synonym)|entrez gene/locuslink:CEK2(gene name synonym)|entrez gene/locuslink:HSFGFR3EX(gene name synonym)|entrez gene/locuslink:JTK4(gene name synonym),"psi-mi:""MI:0096""(pull down)",Bojesen KB (2012),pubmed:22955284,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:2198933,-
